,job_titel,company_name,Loction,salery,other_role
0,Life Insurance Advisor,Kotak Life Insurance,Barasat,"₹15,000 - ₹95,000",Full time  No test required  Freshers only
1,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹90,000",Full time  No test required  Freshers only
2,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹80,000",Full time  No test required  Freshers only
3,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹80,000",Full time  No test required  Freshers only
4,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
5,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Aman Vihar,"₹19,000 - ₹75,000",Full time  No test required  Freshers only
6,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Meerut (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
7,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
8,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
9,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Gandhi Nagar,"₹19,000 - ₹75,000",Part time  No test required  Freshers only
10,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Raipur (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
11,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
12,Insurance Manager,Bajaj Allianz General Insurance Company Limited,Santoshi Mata Chowk,"₹19,000 - ₹60,000",Full time  No test required  Freshers only
13,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Ludhiana (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
14,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ishwar Nagar,"₹19,000 - ₹75,000",Full time  No test required  Freshers only
15,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
16,Field Sales Executive,Bajaj Finserv Health Limited,College Road,"₹15,000 - ₹80,000",Full time  No test required  Freshers only
17,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Agra (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
18,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Bhubaneswar (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
19,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Solapur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
20,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Bikaner (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
21,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
22,Spa Therapist,Urban Company,NH-91,"₹40,000 - ₹60,000",Full time  No test required  Freshers only
23,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ranchi (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
24,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Nashik (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
25,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
26,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
27,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Meerut (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
28,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
29,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
30,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
31,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
32,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
33,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bhubaneswar (Work from home),"₹19,000 - ₹79,000",Full time  No test required  Freshers only
34,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Agra (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
35,Financial Advisor,Aditya Birla Capital Limited,Ultadanga,"₹15,000 - ₹60,000",Full time  No test required  Freshers only
36,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Kota (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
37,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
38,Customer Relations Specialist,Reliance Nippon Life Insurance Company Limited,Golpark,"₹30,000 - ₹80,000",Full time  No test required  Freshers only
39,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
40,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹79,000",Night shift  Part time  No test required  Freshers only
41,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
42,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Indore (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
43,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Raipur (Work from home),"₹19,000 - ₹76,000",Part time  No test required  Freshers only
44,Business Development Executive (BDE),NIILM University,Carmac Street,"₹20,000 - ₹82,496",Full time  No test required  Freshers only
45,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Jodhpur (Work from home),"₹19,000 - ₹81,000",Full time  No test required  Freshers only
46,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Prayagraj (Work from home),"₹19,000 - ₹78,000",Full time  No test required  Freshers only
47,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹78,000",Full time  No test required  Freshers only
48,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Jaipur (Work from home),"₹19,000 - ₹81,000",Full time  No test required  Freshers only
49,Operation Executive,Orn Vacations Private Limited,Hebbal,"₹26,000 - ₹56,000",Full time  No test required  Freshers only
50,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Ranchi (Work from home),"₹19,000 - ₹78,000",Full time  No test required  Freshers only
51,Beauty Therapist,Blue Shine Beauty,Hyder Nagar,"₹20,000 - ₹58,000",Full time  No test required  Freshers only
52,Production Engineer,Engineering Consultant,Amankud,"₹25,000 - ₹63,000",Full time  No test required  Freshers only
53,Ads Promotion Marketing Executive,Myv3Ads Media,Coimbatore (Work from home),"₹14,400 - ₹64,000",Part time  No test required  Freshers only
54,Customer Support Executive,Orn Vacations Private Limited,Hebbal,"₹24,000 - ₹54,000",Full time  No test required  Freshers only
55,Insurance Sales Executive,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
56,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Ajmer (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
57,Internal Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹67,000",Full time  No test required  Freshers only
58,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Visakhapatnam (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
59,Senior Retail Partner,Bajaj Allianz Life Insurance Company Limited,Nayapalli,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
60,Retail Partner,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹82,000",Part time  No test required  Freshers only
61,Team Leader,Bajaj Allianz Life Insurance Company Limited,Indore (Work from home),"₹19,000 - ₹82,000",Part time  No test required  Freshers only
62,Retail Partner,Bajaj Allianz General Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
63,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹63,000",Part time  No test required  Freshers only
64,Business Developer,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
65,Inside Sales Executive,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
66,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹63,000",Full time  No test required  Freshers only
67,Sales Team Leader,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
68,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Bengaluru (Work from home),"₹19,000 - ₹85,000",Full time  No test required  Freshers only
69,RETAIL PARTNER.,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹68,000",Part time  No test required  Freshers only
70,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
71,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
72,Sales Team Leader,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
73,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹82,000",Full time  No test required  Freshers only
74,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹85,000",Night shift Full time  No test required  Freshers only
75,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Hyderabad (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
76,Team Manager,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
77,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Gwalior (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
78,Sales Team Leader,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
79,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹85,000",Night shift Full time  No test required  Freshers only
80,Business Development Associate,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹62,000",Part time  No test required  Freshers only
81,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹82,000",Full time  No test required  Freshers only
82,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
83,Sales Team Leader,Bajaj Allianz Life Insurance Company Limited,Bengaluru (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
84,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹69,500",Part time  No test required  Freshers only
85,Retail PARTNER.,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹68,000",Part time  No test required  Freshers only
86,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
87,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Indore (Work from home),"₹19,000 - ₹63,000",Full time  No test required  Freshers only
88,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Bengaluru (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
89,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹84,000",Full time  No test required  Freshers only
90,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹66,000",Full time  No test required  Freshers only
91,Spa Therapist,Glory Wellness Studio Spa,K.P.H.B. Colony,"₹30,000 - ₹55,000",Full time  No test required  Freshers only
92,Sales & Marketing Manager,Reliance Nippon Life Insurance Company Limited,Ballygunge Gardens,"₹20,000 - ₹60,000",Full time  No test required  Freshers only
93,Business Associate,Nityay Estate Llp,Kidduwala,"₹30,000 - ₹70,000",Part time  No test required  Freshers only
94,Spa Therapist,Glory Wellness Studio Spa,K.P.H.B. Colony,"₹30,000 - ₹55,000",Full time  No test required  Freshers only
95,Agency Development Manager,Bharti Axa Life Insurance,Rabindra Sadan,"₹25,000 - ₹65,000",Part time  No test required  Freshers only
96,Office Assistant,Reliance Nippon Life Insurance Company Limited,Gariahat,"₹20,000 - ₹70,000",Full time  No test required  Freshers only
97,Business Development Manager (BDM),Tata AIA,Titagarh,"₹40,000 - ₹70,000",Part time  No test required  Freshers only
98,Business Development Associate,Trio World,SHASTRI NAGAR METRO  STN.,"₹5,000 - ₹55,000",Full time  No test required  Freshers only
99,Data Entry Executive,Trishiva Consultancy (Opc) Private Limited,Lanka,"₹20,000 - ₹70,000",Part time  No test required  Freshers only
100,Personal Secretary,Vg Broadcast And Production Private Limited,Oshiwara Police Station,"₹40,000 - ₹50,000",Full time  No test required  Freshers only
101,Telecaller,Shayona Calling in Corporation,Nagari Hospital,"₹10,000 - ₹85,000",Full time  No test required  Freshers only
102,Guest Relation Executive,Skyway Airlink Private Limited,Bhubaneswar Barua Road,"₹28,000 - ₹60,000",Full time  No test required  Freshers only
103,Financial Consultant,Tata AIA,Titagarh,"₹40,000 - ₹70,000",Part time  No test required  Freshers only
104,Business Development Manager,Aayu Infosystems,Dahisar East,"₹30,000 - ₹60,000",Full time  No test required  Freshers only
105,Telecaller Inbound,Legal Online Solution,Noida Sector 15,"₹20,000 - ₹70,000",Night shift Full time  No test required  Freshers only
106,Software Engineer,Realm Conferences,Madhapur,"₹15,000 - ₹50,000",Full time  No test required  Freshers only
107,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bhubaneswar (Work from home),"₹19,000 - ₹65,000",Full time  No test required  Freshers only
108,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹71,000",Full time  No test required  Freshers only
109,Food Delivery Boy,zomato Pvt Ltd,Thoppumpady,"₹35,000 - ₹51,000",Part time  No test required  Freshers only
110,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Meerut (Work from home),"₹19,000 - ₹55,000",Full time  No test required  Freshers only
111,Graphic Designer,Vastu Vihar Biotech Pvt Ltd,Mithapur,"₹15,000 - ₹50,000",Full time  No test required  Freshers only
112,Field Sales Executive,Bajaj Finserv Health Limited,Alkapuri,"₹15,000 - ₹60,000",Full time  No test required  Freshers only
113,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Yerwada Post Office,"₹19,000 - ₹95,000",Full time  No test required  Freshers only
114,KYC Executive,Pradeep Kumar Computer Shiksha Saksharta Va Samaj Kalyan Samiti,"Adarsh Nagar, Kanpur","₹3,000 - ₹45,000",Part time  No test required  Freshers only
115,Delivery Boy Biker,Blinkit,Jhandewalan,"₹25,000 - ₹47,000",Part time  No test required  Freshers only
116,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹55,000",Full time  No test required  Freshers only
117,Back Office Coordinator,Reliance Nippon Life Insurance Company Limited,Kasba Industrial Estate,"₹25,000 - ₹65,000",Full time  No test required  Freshers only
118,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ahmedabad (Work from home),"₹19,000 - ₹75,000",Part time  No test required  Freshers only
119,Delivery Boy Biker,Borzo,Madhapur,"₹35,000 - ₹55,000",Night shift  Part time  No test required  Freshers only
120,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Jamshedpur (Work from home),"₹19,000 - ₹70,000",Part time  No test required  Freshers only
121,Digital Marketing Executive,NIILM University,Park Street,"₹20,250 - ₹93,254",Full time  No test required  Freshers only
122,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Saharanpur (Work from home),"₹19,000 - ₹77,000",Full time  No test required  Freshers only
123,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
124,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bhopal (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
125,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Indore (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
126,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
127,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Jamshedpur (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
128,Team Leader,Bajaj Allianz Life Insurance Company Limited,C R P Lines,"₹19,000 - ₹62,000",Full time  No test required  Freshers only
129,Sales and Marketing Leader,Bajaj Allianz Life Insurance Company Limited,Agra (Work from home),"₹19,000 - ₹72,000",Part time  No test required  Freshers only
130,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹77,000",Full time  No test required  Freshers only
131,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Part time  No test required  Freshers only
132,Sales and Marketing Leader,Bajaj Allianz Life Insurance Company Limited,Bhopal (Work from home),"₹19,000 - ₹72,000",Part time  No test required  Freshers only
133,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Hubli (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
134,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolhapur (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
135,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Ranchi (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
136,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹7,000 - ₹87,000",Part time  No test required  Freshers only
137,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹72,000",Full time  No test required  Freshers only
138,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Aurangabad (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
139,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Solapur (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
140,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Ranchi (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
141,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Jaipur (Work from home),"₹19,000 - ₹77,000",Full time  No test required  Freshers only
142,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹90,000",Full time  No test required  Freshers only
143,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹87,000",Part time  No test required  Freshers only
144,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Nashik (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
145,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹72,000",Full time  No test required  Freshers only
146,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹62,000",Part time  No test required  Freshers only
147,Insurance Analyst,Bajaj Allianz Life Insurance Company Limited,New Town Action Area II,"₹19,000 - ₹52,500",Part time  No test required  Freshers only
148,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
149,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹7,000 - ₹87,000",Part time  No test required  Freshers only
150,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹19,000 - ₹67,000",Full time  No test required  Freshers only
151,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
152,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
153,Team Leader,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
154,Delivery Boy Biker,RS HR team Solutions,Ajit Colony,"₹10,000 - ₹47,000",Part time  No test required  Freshers only
155,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Hyderabad (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
156,Retail Executive,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Part time  No test required  Freshers only
157,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Dehradun (Work from home),"₹19,000 - ₹42,000",Full time  No test required  Freshers only
158,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹77,000",Full time  No test required  Freshers only
159,Insurance Manager,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
160,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Nagpur (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
161,Sales Executive,Bajaj Allianz Life Insurance Company Limited,Surat (Work from home),"₹19,000 - ₹72,000",Part time  No test required  Freshers only
162,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ahmednagar (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
163,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bengaluru (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
164,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
165,Insurance Sales / BD Manager,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Part time  No test required  Freshers only
166,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹62,000",Full time  No test required  Freshers only
167,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Mumbai (Work from home),"₹7,000 - ₹87,000",Part time  No test required  Freshers only
168,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Full time  No test required  Freshers only
169,Agency Partner,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹67,000",Full time  No test required  Freshers only
170,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹52,000",Part time  No test required  Freshers only
171,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Guwahati (Work from home),"₹19,000 - ₹77,000",Full time  No test required  Freshers only
172,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Gwalior (Work from home),"₹19,000 - ₹76,000",Full time  No test required  Freshers only
173,Business Development Manager (BDM),Bajaj Allianz Life Insurance Company Limited,Indore (Work from home),"₹19,000 - ₹76,000",Full time  No test required  Freshers only
174,Delivery Boy Biker,JKS Sure Services,Mithapur,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
175,Back Office Coordinator,Bharti Axa Life Insurance,JL Nehru Road,"₹20,000 - ₹65,000",Full time  No test required  Freshers only
176,Delivery Boy,Ansh Credit Care Private Limited,Ram Chandra Pur,"₹25,000 - ₹45,000",Part time  No test required  Freshers only
177,Food Delivery Boy,Ansh Credit Care Private Limited,Mansrower,"₹25,000 - ₹45,000",Part time  No test required  Freshers only
178,Sales Executive,Aamayr Estate Private Limited,Goregaon,"₹35,000 - ₹50,000",Full time  No test required  Freshers only
179,Team Associate,Reliance Nippon Life Insurance Company Limited,Kasba Industrial Estate,"₹20,000 - ₹60,000",Full time  No test required  Freshers only
180,Food Delivery Boy,Ansh Credit Care Private Limited,Jakhan,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
181,Delivery Boy Biker,JKS Sure Services,Fraser Road,"₹30,000 - ₹43,000",Part time  No test required  Freshers only
182,Food Delivery Boy,Ansh Credit Care Private Limited,Buxi Bazaar,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
183,Delivery Boy,Ansh Credit Care Private Limited,Amanaka,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
184,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹55,000",Full time  No test required  Freshers only
185,Financial Assistant,Max Life Insurance,Puducherry (Work from home),"₹10,000 - ₹60,000",Part time  No test required  Freshers only
186,Business Team Leader,Bharti Axa Life Insurance,Kankurgachi,"₹20,000 - ₹60,000",Full time  No test required  Freshers only
187,Delivery Boy,Ansh Credit Care Private Limited,Basni,"₹30,000 - ₹45,000",Full time  No test required  Freshers only
188,Delivery Boy Biker,JKS Sure Services,Jamshedpur,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
189,Banker,Reliance Nippon Life Insurance Company Limited,Lake Market,"₹13,000 - ₹50,000",Part time  No test required  Freshers only
190,Delivery Boy,Traction Consulting Firm,Aalathur IE,"₹30,000 - ₹50,000",Part time  No test required  Freshers only
191,Delivery Boy,Ansh Credit Care Private Limited,Civil Lines,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
192,Delivery Boy,Ansh Credit Care Private Limited,Doranda,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
193,Bank Teller/Clerk Branch Manager,Reliance Nippon Life Insurance Company Limited,Gariahat Road,"₹15,000 - ₹60,000",Full time  No test required  Freshers only
194,Sales Executive,Stech IVF Solutions,Hyderabad,"₹15,000 - ₹50,000",Full time  No test required  Freshers only
195,Delivery Boy,Ansh Credit Care Private Limited,Sakchi,"₹30,000 - ₹45,000",Full time  No test required  Freshers only
196,Field Sales Executive,Bizmart Infotech Private Limited,"Sector 63, Noida","₹18,000 - ₹60,000",Full time  No test required  Freshers only
197,Retail Partner,Bajaj Allianz General Insurance Company Limited,Nashik (Work from home),"₹19,000 - ₹45,000",Full time  No test required  Freshers only
198,Food Delivery Boy,Ansh Credit Care Private Limited,Varachha,"₹25,000 - ₹45,000",Part time  No test required  Freshers only
199,Food Delivery Biker,Ansh Credit Care Private Limited,Jakhan,"₹25,000 - ₹45,000",Part time  No test required  Freshers only
200,Delivery Boy,JKS Sure Services,North Office Para,"₹30,000 - ₹43,000",Part time  No test required  Freshers only
201,Software Developer,Yellow Summer Private Limited,Lakshmi Mills Junction,"₹20,000 - ₹40,000",Full time  No test required  Freshers only
202,Delivery Boy,Ansh Credit Care Private Limited,Qasimpur,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
203,Financial Advisor,Bharti Axa Life Insurance,Ghughu Danga,"₹15,000 - ₹55,000",Full time  No test required  Freshers only
