,job_titel,company_name,Loction,salery,other_role
670,Food Delivery Biker,Zomato,Bajwa Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
671,Back Office Executive,Spark International,Esi Hospital To Kochar Market Chowk,"₹10,000 - ₹27,000",Full time  No test required  Freshers only
672,Food Delivery Biker,Zomato,Ankhi,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
673,Customer Relationship Executive,Ayushya Healthcare Services Private Limited,Poisar Depot,"₹8,000 - ₹25,000",Full time  No test required  Freshers only
674,Food Delivery Biker,Zomato,Ghaziabad Sector 18,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
675,Sales and Marketing Executive,Medi-India Systems & Services,Sodala,"₹10,000 - ₹45,000",Full time  No test required  Freshers only
676,Food Delivery Biker,Zomato,Jeoni Mandi,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
677,Marketing Executive,Artistic Artforum,Indiranagara,"₹20,000 - ₹26,000",Full time  No test required  Freshers only
678,Field Executive,The Super Merchant International,MP Nagar,"₹10,000 - ₹30,000",Full time  No test required  Freshers only
679,Front Office Manager,Travel Lines,Hazratganj,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
680,Telecalling Executive,Global Traders,Laxmi Nagar,"₹10,000 - ₹35,000",Full time  No test required  Freshers only
681,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Prayagraj (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
682,Document Verification Executive (Office),New Age Software And Solutions (India) Private Limited,Aalathur IE,"₹18,000 - ₹28,000",Full time  No test required  Freshers only
683,Food Delivery Biker,Zomato,Gurjar ki Thadi,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
684,Sales & Marketing Executive,Sky Automobiles,NH-5,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
685,Team Leader,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹39,000",Full time  No test required  Freshers only
686,Food Delivery Biker,Zomato,Gita Colony,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
